objectid;type;address;polygonid;scale;angle;globalid;geo_shape;geo_point_2d
932;;;0;1.0;0.0;{656DA18C-BCB9-47D9-9F6C-A258FE71F730};"{""type"": ""Point"", ""coordinates"": [-79.06249786364849, 35.94618088291576]}";"35.9461808829; -79.0624978636"
973;public;310;0;1.0;0.0;{36312598-19B9-4822-A0E5-1BDEFA63D998};"{""type"": ""Point"", ""coordinates"": [-79.04170043002406, 35.92843457860831]}";"35.9284345786; -79.04170043"
978;public;603;0;1.0;0.0;{7B7C3038-DDC3-41F8-8EF0-CF894C333EA5};"{""type"": ""Point"", ""coordinates"": [-79.04647564639926, 35.93507506850947]}";"35.9350750685; -79.0464756464"
970;;;0;1.0;0.0;{51089E99-647F-4A10-8E95-82B6A025B28F};"{""type"": ""Point"", ""coordinates"": [-79.0514311257408, 35.964269672718316]}";"35.9642696727; -79.0514311257"
998;public;815;0;1.0;0.0;{170669B5-9B9E-434A-AC54-1D79AD606F06};"{""type"": ""Point"", ""coordinates"": [-79.03800075108462, 35.95322999459219]}";"35.9532299946; -79.0380007511"
988;public;304;0;1.0;0.0;{1C4F23EF-6CAF-4977-A46F-7D4DE17DFB5E};"{""type"": ""Point"", ""coordinates"": [-79.03894193250517, 35.9052834778738]}";"35.9052834779; -79.0389419325"
684;public;;0;1.0;0.0;{53AE242C-27B1-405B-8219-1EA2429127E1};"{""type"": ""Point"", ""coordinates"": [-79.05649915570514, 35.90481368115831]}";"35.9048136812; -79.0564991557"
685;public;;0;1.0;0.0;{9AD4979E-8265-4E84-9CEE-23BA73BE5C32};"{""type"": ""Point"", ""coordinates"": [-79.05705971671141, 35.90572986330715]}";"35.9057298633; -79.0570597167"
699;private;;0;1.0;0.0;{AF81A71D-0084-40B9-B6B9-4A8D9ACF1D08};"{""type"": ""Point"", ""coordinates"": [-79.05545918206734, 35.96338238282779]}";"35.9633823828; -79.0554591821"
694;private;;0;1.0;0.0;{AF8BE923-81D2-49C8-BD9E-4A5732C08AF5};"{""type"": ""Point"", ""coordinates"": [-79.04327248681548, 35.89882384544716]}";"35.8988238454; -79.0432724868"
964;public;112;0;1.0;0.0;{4829C56F-EE03-48C0-A22E-CFED7EF9D73D};"{""type"": ""Point"", ""coordinates"": [-79.05105549758656, 35.94191857051639]}";"35.9419185705; -79.0510554976"
966;public;213;0;1.0;0.0;{4AE678DA-7A46-46F4-A622-395416B36BC6};"{""type"": ""Point"", ""coordinates"": [-79.0522559577272, 35.9444171063278]}";"35.9444171063; -79.0522559577"
956;public;130;0;1.0;0.0;{B32D4FB6-F99B-4E70-B6A0-E7D24936522A};"{""type"": ""Point"", ""coordinates"": [-79.057537879503, 35.92052486595028]}";"35.920524866; -79.0575378795"
953;public;;0;1.0;0.0;{586439D8-7644-4F4A-B5BC-565B84F946E9};"{""type"": ""Point"", ""coordinates"": [-79.0546992542948, 35.90849853728895]}";"35.9084985373; -79.0546992543"
999;public;138;0;1.0;0.0;{172E5140-49B5-49C0-890F-CFF6F46567F2};"{""type"": ""Point"", ""coordinates"": [-79.04042269026495, 35.959809730200355]}";"35.9598097302; -79.0404226903"
984;public;312;0;1.0;0.0;{D3B4FFEF-00AA-407D-A694-5AABC01E74C0};"{""type"": ""Point"", ""coordinates"": [-79.04776015344859, 35.950049579686095]}";"35.9500495797; -79.0477601534"
989;public;116;0;1.0;0.0;{A409C8F8-C7EA-4CC1-8E57-188486D23316};"{""type"": ""Point"", ""coordinates"": [-79.03742775629004, 35.92919257616048]}";"35.9291925762; -79.0374277563"
